m1,m2,d,g
0.33,4.87,0.34,13.9
0.33,5.97,0.61,5.3
0.33,0.642,1.14,0.2
0.33,1898,4.82,27
0.33,568,9.14,2.2
0.33,86.8,18.82,0.1
0.33,102,29.7,0
4.87,5.97,0.28,370.8
4.87,0.642,0.8,4.9
4.87,1898,4.48,460.5
4.87,568,8.8,35.7
4.87,86.8,18.49,1.2
4.87,102,29.37,0.6
5.97,0.642,0.52,14.2
5.97,1898,4.2,642.4
5.97,568,8.52,46.7
5.97,86.8,18.21,1.6
5.97,102,29.09,0.7
0.642,1898,3.68,90
0.642,568,7.99,5.7
0.642,86.8,17.69,0.2
0.642,102,28.56,0.1
1898,568,4.32,57766.6
1898,86.8,14.01,839.3
1898,102,24.89,312.5
568,86.8,9.7,524
568,102,20.57,136.9
86.8,102,10.88,74.8
